squirrel_id,latitude,longitude,shift,date,age,color,location,specific_location,running,chasing,climbing,eating,foraging,other_activities,kuks,quaas,moans,tail_flags,tail_twitches,approaches,indifferent,runs_from
38G-PM-1020-09,40.7947639241491,-73.9546654184146,PM,2018-10-20,Adult,Gray,Ground Plane,,False,False,False,True,True,,False,False,False,True,False,False,True,False
16G-PM-1017-01,40.7768804702473,-73.9667114027214,PM,2018-10-17,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
36I-PM-1007-07,40.7921822457613,-73.9530035564643,PM,2018-10-07,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
35A-AM-1014-03,40.7951278622399,-73.9615696577673,AM,2018-10-14,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
28C-PM-1006-01,40.7883840104749,-73.964474836001,PM,2018-10-06,Adult,Gray,Ground Plane,,False,False,False,False,False,gathering acorns,False,False,False,True,False,False,False,True
32D-AM-1013-06,40.7914829661051,-73.9610705592868,AM,2018-10-13,Adult,Cinnamon,Ground Plane,,True,False,False,True,True,"eating (a mushroom),circles around us,really fat,scratching himself,grooming activity",False,False,False,False,True,True,False,False
22A-AM-1008-05,40.7845301288163,-73.9688454483585,AM,2018-10-08,Adult,Gray,Above Ground,trash can,False,False,False,True,False,,False,False,False,True,False,False,False,True
40B-PM-1014-06,40.7980959471034,-73.9578237168359,PM,2018-10-14,Adult,Gray,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,True,False
19C-PM-1018-01,40.7809719445309,-73.9688271202401,PM,2018-10-18,Adult,Gray,Ground Plane,,True,True,False,True,False,,False,False,False,False,True,False,True,False
35A-PM-1013-06,40.7944585082367,-73.9617088749928,PM,2018-10-13,Adult,Cinnamon,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,True
14E-AM-1008-09,40.7766530579293,-73.9701824825872,AM,2018-10-08,Adult,Gray,Ground Plane,,True,True,False,False,False,,True,False,False,False,False,False,False,True
15G-PM-1019-05,40.7766043512974,-73.9676410497481,PM,2018-10-19,Adult,Gray,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,False
10F-AM-1007-02,40.7723572030236,-73.9708726050721,AM,2018-10-07,Adult,Gray,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,False
42E-PM-1012-06,40.7982162223764,-73.9541453465817,PM,2018-10-12,Adult,Cinnamon,Ground Plane,,True,False,False,False,True,,False,False,False,False,False,False,False,True
22B-AM-1013-04,40.7842927405327,-73.9683608295976,AM,2018-10-13,Adult,Cinnamon,Ground Plane,Under bench,False,False,False,False,True,,False,False,False,False,False,False,False,True
15F-PM-1010-06,40.777338666528,-73.968052057989,PM,2018-10-10,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
5A-AM-1006-05,40.7715877863274,-73.9787180870736,AM,2018-10-06,Adult,Gray,Ground Plane,near 65th St arch,False,False,False,False,True,,False,False,False,True,False,False,False,True
32H-PM-1006-01,40.7895654068546,-73.9565905868276,PM,2018-10-06,,Gray,Above Ground,in the European Beech,False,False,True,False,False,,False,False,False,False,False,False,False,False
42C-AM-1007-02,40.7992461674802,-73.9565759733611,AM,2018-10-07,,,,,False,False,False,False,False,,False,True,False,False,False,False,False,False
41D-AM-1014-01,40.7987384656256,-73.9551539498306,AM,2018-10-14,Adult,Gray,Ground Plane,,False,False,False,False,True,digging,False,False,False,False,False,False,True,False
21G-PM-1007-01,40.7813537959435,-73.9641971813967,PM,2018-10-07,Adult,Gray,Ground Plane,,False,False,False,True,False,,False,False,False,True,False,False,True,False
14E-AM-1008-02,40.7768553703082,-73.9692883970928,AM,2018-10-08,Adult,Gray,Ground Plane,,True,False,False,False,True,walking,False,False,False,False,False,False,False,True
7H-PM-1006-04,40.7699587019058,-73.9708549670788,PM,2018-10-06,Adult,Gray,Above Ground,on tree knob,False,False,False,False,False,sitting,False,False,False,False,False,False,True,False
22F-AM-1007-01,40.7825111950764,-73.9639744005647,AM,2018-10-07,Adult,Gray,Ground Plane,,False,False,True,False,True,,False,False,False,False,False,False,True,False
7F-AM-1008-16,40.7712145488828,-73.9730277911422,AM,2018-10-08,Juvenile,Gray,Above Ground,tree,False,False,False,False,False,,False,False,False,False,False,False,False,True
